"abbreviation"	"name"	"equation"	"reversible"	"compartment"	"lowbnd"	"uppbnd"	"obj_coef"	"rule"	"subsystem"
"12DGR120tipp"	" 1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C12:0)"	"12dgr120[p] --> 12dgr120[c]"	"Irreversible"	"C_c, C_p"	0	1000	0	""	"Transport, Inner Membrane"
"12DGR140tipp"	" 1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C14:0)"	"12dgr140[p] --> 12dgr140[c]"	"Irreversible"	"C_c, C_p"	0	1000	0	""	"Transport, Inner Membrane"
"12DGR141tipp"	" 1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C14:1)"	"12dgr141[p] --> 12dgr141[c]"	"Irreversible"	"C_c, C_p"	0	1000	0	""	"Transport, Inner Membrane"
"12DGR160tipp"	" 1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C16:0)"	"12dgr160[p] --> 12dgr160[c]"	"Irreversible"	"C_c, C_p"	0	1000	0	""	"Transport, Inner Membrane"
"12DGR161tipp"	" 1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C16:1)"	"12dgr161[p] --> 12dgr161[c]"	"Irreversible"	"C_c, C_p"	0	1000	0	""	"Transport, Inner Membrane"
"12DGR180tipp"	" 1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C18:0)"	"12dgr180[p] --> 12dgr180[c]"	"Irreversible"	"C_c, C_p"	0	1000	0	""	"Transport, Inner Membrane"
"12DGR181tipp"	" 1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C18:1)"	"12dgr181[p] --> 12dgr181[c]"	"Irreversible"	"C_c, C_p"	0	1000	0	""	"Transport, Inner Membrane"
"12PPDRtex"	"(R)-Propane-1,2-diol transport via diffusion (extracellular to periplasm)"	"12ppd_DASH_R[e] <==> 12ppd_DASH_R[p]"	"Reversible"	"C_e, C_p"	-1000	1000	0	"(b2215) or (b0241) or (b1377) or (b0929)"	"Transport, Outer Membrane Porin"
"12PPDRtpp"	"(R)-Propane-1,2-diol facilitated transport (periplasm)"	"12ppd_DASH_R[p] <==> 12ppd_DASH_R[c]"	"Reversible"	"C_c, C_p"	-1000	1000	0	""	"Transport, Inner Membrane"
"12PPDStex"	"(S)-Propane-1,2-diol transport via diffusion (extracellular to periplasm)"	"12ppd_DASH_S[e] <==> 12ppd_DASH_S[p]"	"Reversible"	"C_e, C_p"	-1000	1000	0	"(b2215) or (b0241) or (b1377) or (b0929)"	"Transport, Outer Membrane Porin"
"12PPDStpp"	"(S)-Propane-1,2-diol facilitated transport (periplasm)"	"12ppd_DASH_S[p] <==> 12ppd_DASH_S[c]"	"Reversible"	"C_c, C_p"	-1000	1000	0	""	"Transport, Inner Membrane"
