"abbreviation"	"name"	"equation"	"reversible"	"compartment"	"lowbnd"	"uppbnd"	"obj_coef"	"rule"	"subsystem"
"DM_4CRSOL"	"Sink needed to allow p-Cresol to leave system"	"[c] : 4crsol --> "	"Irreversible"	"c"	0	1000	0	""	"Exchange"
"DM_5DRIB"	"Sink needed to allow 5'-deoxyribose to leave system"	"[c] : 5drib --> "	"Irreversible"	"c"	0	1000	0	""	"Exchange"
"DM_AACALD"	"Sink needed to allow aminoacetaldehyde to leave system"	"[c] : aacald --> "	"Irreversible"	"c"	0	1000	0	""	"Exchange"
"DM_AMOB"	"Sink needed to allow S-Adenosyl-4-methylthio-2-oxobutanoate to leave system"	"[c] : amob --> "	"Irreversible"	"c"	0	1000	0	""	"Exchange"
"DM_MTHTHF"	"Sink needed to allow (2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran to leave system"	"[c] : mththf --> "	"Irreversible"	"c"	0	1000	0	""	"Exchange"
"DM_OXAM"	"Sink needed to allow oxamate to leave system"	"[c] : oxam --> "	"Irreversible"	"c"	0	1000	0	""	"Exchange"
"Ec_biomass_iJO1366_WT_53p95M"	"E. coli biomass objective function (iJO1366) - WT - with 53.95 GAM estimate"	"(0.000223) 10fthf[c] + (0.000223) 2dmmql8[c] + (2.5e-05) 2fe2s[c] + (0.000248) 4fe4s[c] + (0.000223) 5mthf[c] + (0.000279) accoa[c] + (0.000223) adocbl[c] + (0.499149) ala_DASH_L[c] + (0.000223) amet[c] + (0.28742) arg_DASH_L[c] + (0.234232) asn_DASH_L[c] + (0.234232) asp_DASH_L[c] + (54.119975) atp[c] + (0.000116) bmocogdp[c] + (2e-06) btn[c] + (0.004952) ca2[c] + (0.000223) chor[c] + (0.004952) cl[c] + (0.000168) coa[c] + (2.4e-05) cobalt2[c] + (0.129799) ctp[c] + (0.000674) cu2[c] + (0.088988) cys_DASH_L[c] + (0.024805) datp[c] + (0.025612) dctp[c] + (0.025612) dgtp[c] + (0.024805) dttp[c] + (0.000223) enter[c] + (0.000223) fad[c] + (0.006388) fe2[c] + (0.007428) fe3[c] + (0.255712) gln_DASH_L[c] + (0.255712) glu_DASH_L[c] + (0.595297) gly[c] + (0.154187) glycogen[c] + (0.000223) gthrd[c] + (0.209121) gtp[c] + (48.752916) h2o[c] + (0.000223) hemeO[c] + (0.092056) his_DASH_L[c] + (0.282306) ile_DASH_L[c] + (0.18569) k[c] + (0.437778) leu_DASH_L[c] + (3e-06) lipopb[c] + (0.333448) lys_DASH_L[c] + (3.1e-05) malcoa[c] + (0.149336) met_DASH_L[c] + (0.008253) mg2[c] + (0.000223) mlthf[c] + (0.000658) mn2[c] + (7e-06) mobd[c] + (7e-06) mococdp[c] + (7e-06) mocogdp[c] + (0.000223) mql8[c] + (0.001787) nad[c] + (4.5e-05) nadh[c] + (0.000112) nadp[c] + (0.000335) nadph[c] + (0.012379) nh4[c] + (0.000307) ni2[c] + (0.012366) pe160[c] + (0.009618) pe161[c] + (0.004957) pe181[c] + (0.005707) pg160[c] + (0.004439) pg161[c] + (0.002288) pg181[c] + (0.180021) phe_DASH_L[c] + (0.000223) pheme[c] + (0.214798) pro_DASH_L[c] + (0.03327) ptrc[c] + (0.000223) pydx5p[c] + (0.000223) q8h2[c] + (0.000223) ribflv[c] + (0.209684) ser_DASH_L[c] + (0.000223) sheme[c] + (0.004126) so4[c] + (0.006744) spmd[c] + (9.8e-05) succoa[c] + (0.000223) thf[c] + (0.000223) thmpp[c] + (0.246506) thr_DASH_L[c] + (0.055234) trp_DASH_L[c] + (0.133993) tyr_DASH_L[c] + (5.5e-05) udcpdp[c] + (0.140101) utp[c] + (0.411184) val_DASH_L[c] + (0.000324) zn2[c] + (0.008151) colipa[e] + (0.002944) clpn160[p] + (0.00229) clpn161[p] + (0.00118) clpn181[p] + (0.001345) murein3p3p[p] + (0.000605) murein3px4p[p] + (0.005381) murein4p4p[p] + (0.005448) murein4px4p[p] + (0.000673) murein4px4px4p[p] + (0.031798) pe160[p] + (0.024732) pe161[p] + (0.012747) pe181[p] + (0.004892) pg160[p] + (0.003805) pg161[p] + (0.001961) pg181[p] --> (53.95) adp[c] + (53.95) h[c] + (53.945874) pi[c] + (0.749831) ppi[c]"	"Irreversible"	"c, e, p"	0	1000	0	""	"Exchange"
"Ec_biomass_iJO1366_core_53p95M"	"E. coli biomass objective function (iJO1366) - core - with 53.95 GAM estimate"	"(0.000223) 10fthf[c] + (2.6e-05) 2fe2s[c] + (0.000223) 2ohph[c] + (0.00026) 4fe4s[c] + (0.513689) ala_DASH_L[c] + (0.000223) amet[c] + (0.295792) arg_DASH_L[c] + (0.241055) asn_DASH_L[c] + (0.241055) asp_DASH_L[c] + (54.124831) atp[c] + (0.000122) bmocogdp[c] + (2e-06) btn[c] + (0.005205) ca2[c] + (0.005205) cl[c] + (0.000576) coa[c] + (2.5e-05) cobalt2[c] + (0.133508) ctp[c] + (0.000709) cu2[c] + (0.09158) cys_DASH_L[c] + (0.026166) datp[c] + (0.027017) dctp[c] + (0.027017) dgtp[c] + (0.026166) dttp[c] + (0.000223) fad[c] + (0.006715) fe2[c] + (0.007808) fe3[c] + (0.26316) gln_DASH_L[c] + (0.26316) glu_DASH_L[c] + (0.612638) gly[c] + (0.215096) gtp[c] + (48.601527) h2o[c] + (0.094738) his_DASH_L[c] + (0.290529) ile_DASH_L[c] + (0.195193) k[c] + (0.450531) leu_DASH_L[c] + (0.343161) lys_DASH_L[c] + (0.153686) met_DASH_L[c] + (0.008675) mg2[c] + (0.000223) mlthf[c] + (0.000691) mn2[c] + (7e-06) mobd[c] + (0.001831) nad[c] + (0.000447) nadp[c] + (0.013013) nh4[c] + (0.000323) ni2[c] + (0.017868) pe160[c] + (0.054154) pe161[c] + (0.185265) phe_DASH_L[c] + (0.000223) pheme[c] + (0.221055) pro_DASH_L[c] + (0.000223) pydx5p[c] + (0.000223) ribflv[c] + (0.215792) ser_DASH_L[c] + (0.000223) sheme[c] + (0.004338) so4[c] + (0.000223) thf[c] + (0.000223) thmpp[c] + (0.253687) thr_DASH_L[c] + (0.056843) trp_DASH_L[c] + (0.137896) tyr_DASH_L[c] + (5.5e-05) udcpdp[c] + (0.144104) utp[c] + (0.423162) val_DASH_L[c] + (0.000341) zn2[c] + (0.019456) kdo2lipid4[e] + (0.013894) murein5px4p[p] + (0.045946) pe160[p] + (0.02106) pe161[p] --> (53.95) adp[c] + (53.95) h[c] + (53.945662) pi[c] + (0.773903) ppi[c]"	"Irreversible"	"c, e, p"	0	1000	1	""	"Exchange"
"EX_12ppd_R(e)"	"(R)-Propane-1,2-diol exchange"	"[e] : 12ppd_DASH_R <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
"EX_12ppd_S(e)"	"(S)-Propane-1,2-diol exchange"	"[e] : 12ppd_DASH_S <==> "	"Reversible"	"e"	0	1000	0	""	"Exchange"
