goldID	organismName	ncbiBioprojectID	ncbiTaxID	Ecosystem	EcosystemCategory	EcosystemType
Gb0000007	Erwinia pyrifoliae Ep1/96	PRJNA34779	634499	Host-associated	Plants	Unclassified
Gb0000013	Corynebacterium kroppenstedtii DSM 44385	PRJNA38011	645127	Host-associated	Human	Respiratory system
Gb0000024	Candida albicans SC5314	PRJNA10701	237561	Host-associated	NA	NA
Gb0000028	Lachancea waltii NCYC 2644	PRJNA10734	262981	Host-associated	Plants	Unclassified
Gb0000030	Methanosphaerula palustris E1-9c, DSM 19958	PRJNA19267	438753	Environmental	Aquatic	Freshwater
Gb0000031	Giardia lamblia ATCC 50803	PRJNA1439	184922	Host-associated	Human	Unclassified
Gb0000033	Acaryochloris marina MBIC11017	PRJNA12997	329726	Host-associated	Animal	Unclassified
Gb0000037	Shewanella pealeana ANG-SQ1, ATCC 700345	PRJNA17415	398579	Host-associated	Mollusca	Unclassified
Gb0000038	Rickettsia massiliae MTU5	PRJNA18271	416276	Host-associated	Insecta	Unclassified
Gb0000039	Rickettsia bellii OSU 85-389	PRJNA17237	391896	Host-associated	Arthropoda	Unclassified
Gb0000040	Thermus aquaticus Y51MC23	PRJNA12952	293613	NA	NA	NA
Gb0000041	Dinoroseobacter shibae DFL-12, DSM 16493	PRJNA17417	398580	Host-associated	Unclassified	Unclassified
Gb0000042	Frankia sp. EAN1pec	PRJNA13915	298653	Host-associated	Plants	Unclassified
Gb0000043	Arcobacter butzleri RM4018	PRJNA16319	367737	Host-associated	Human	Unclassified
Gb0000045	Homo sapiens JC Venter	PRJNA19621	9606	Host-associated	NA	NA
Gb0000046	Gibberella zeae PH-1	PRJNA13839	229533	Host-associated	Plants	Unclassified
Gb0000054	Serratia proteamaculans 568	PRJNA17459	399741	Host-associated	Plants	Rhizoplane
Gb0000058	Campylobacter concisus 13826	PRJNA17159	360104	Host-associated	Human	Digestive system
Gb0000059	Streptococcus gordonii Challis CH1	PRJNA66	467705	Host-associated	NA	NA
Gb0000061	Escherichia coli O139:H28 E24377A (ETEC)	PRJNA13960	331111	Host-associated	NA	NA
Gb0000062	Escherichia coli O9 HS	PRJNA13959	331112	Host-associated	Human	Unclassified
Gb0000063	Staphylococcus aureus aureus Mu3	PRJNA18509	418127	Host-associated	Human	Respiratory system
Gb0000067	Francisella tularensis holarctica FTA (FTNF002-00)	PRJNA20197	458234	Host-associated	Human	Unclassified
Gb0000068	Coxiella burnetii Dugway 5J108-111	PRJNA16721	434922	Host-associated	Mammals	Unclassified
Gb0000074	Campylobacter curvus 525.92	PRJNA17161	360105	Host-associated	Human	Digestive system
Gb0000075	Campylobacter hominis ATCC BAA-381	PRJNA20083	360107	Host-associated	Human	Digestive system
Gb0000076	Campylobacter jejuni doylei 269.97	PRJNA17163	360109	Host-associated	Human	Circulatory system
Gb0000077	Yersinia pseudotuberculosis IP 31758	PRJNA16070	349747	Host-associated	Animal	Digestive system
Gb0000084	Clostridium botulinum BoNT/A1 Hall	PRJNA19521	441771	Host-associated	Human	Unclassified
Gb0000088	Bacillus cereus cytotoxis NVH 391-98	PRJNA13624	315749	Host-associated	Plants	Unclassified
Gb0000093	Janthinobacterium sp. Marseille	PRJNA16549	375286	Host-associated	Animal	Unclassified
Gb0000094	Marinomonas sp. MWYL1	PRJNA17445	400668	Host-associated	Plants	Unclassified
Gb0000095	Pseudomonas aeruginosa PA7	PRJNA16720	381754	Host-associated	Unclassified	Unclassified
Gb0000096	Actinobacillus succinogenes 130Z	PRJNA13370	339671	Host-associated	Mammals	Digestive system
Gb0000097	Klebsiella pneumoniae pneumoniae MGH78578	PRJNA31	272620	Host-associated	Human	Unclassified
Gb0000112	Aedes aegypti Liverpool	PRJNA12434	7159	Host-associated	Human	Unclassified
Gb0000114	Staphylococcus aureus aureus Newman	PRJNA18801	426430	Host-associated	Human	Unclassified
Gb0000117	Ensifer medicae WSM419	PRJNA16304	366394	Host-associated	Plants	Unclassified
Gb0000122	Staphylococcus aureus aureus JH1	PRJNA15758	359787	Host-associated	NA	NA
Gb0000124	Bacteroides vulgatus ATCC 8482	PRJNA13378	435590	Host-associated	Human	Digestive system
Gb0000125	Parabacteroides distasonis ATCC 8503	PRJNA13485	435591	Host-associated	NA	NA
