Organism	Acc
Alkaliphilus metalliredigens QYMF	NC_009633
Aster yellows witches-broom phytoplasma AYWB	NC_007716
Bacillus anthracis Ames	NC_003997
Bacillus cereus ATCC14579	NC_004722
Bacillus clausii KSM-K16	NC_006582
Bacillus halodurans	NC_002570
Bacillus licheniformis ATCC 14580	NC_006270
Bacillus subtilis	NC_000964
Bacillus thuringiensis konkukian	NC_005957
Caldicellulosiruptor saccharolyticus DSM 8903	NC_009437
Carboxydothermus hydrogenoformans Z-2901	NC_007503
Clostridium acetobutylicum	NC_003030
Clostridium beijerinckii NCIMB 8052	NC_009617
Clostridium botulinum A	NC_009495
Clostridium difficile 630	NC_009089
Clostridium novyi NT	NC_008593
Clostridium perfringens	NC_008261
Clostridium tetani E88	NC_004557
Clostridium thermocellum ATCC 27405	NC_009012
Desulfitobacterium hafniense Y51	NC_011830
Desulfotomaculum reducens MI-1	NC_009253
Enterococcus faecalis V583	NC_004668
Fusobacterium nucleatum	NC_003454
Geobacillus kaustophilus HTA426	NC_006510
Geobacillus thermodenitrificans NG80-2	NC_009328
Lactobacillus acidophilus NCFM	NC_006814
Lactobacillus brevis ATCC 367	NC_008497
Lactobacillus casei ATCC 334	NC_008526
Lactobacillus delbrueckii bulgaricus	NC_008054
Lactobacillus gasseri ATCC 33323	NC_008530
Lactobacillus johnsonii NCC 533	NC_005362
Lactobacillus plantarum	NC_012984
Lactobacillus reuteri 	NC_009513
Lactobacillus sakei 23K	NC_007576
Lactobacillus salivarius UCC118	NC_007929
Lactococcus lactis	NC_002662
Leuconostoc mesenteroides ATCC 8293	NC_008531
Listeria innocua	NC_003212
Listeria monocytogenes	NC_002973
Listeria welshimeri serovar 6b SLCC5334	NC_008555
Mesoplasma florum L1	NC_006055
Moorella thermoacetica ATCC 39073	NC_007644
Mycoplasma agalactiae PG2	NC_009497
Mycoplasma capricolum ATCC 27343	NC_007633
Mycoplasma gallisepticum	NC_004829
Mycoplasma genitalium	NC_000908
Mycoplasma hyopneumoniae 232	NC_006360
Mycoplasma mobile 163K	NC_006908
Mycoplasma mycoides	NC_005364
Mycoplasma penetrans	NC_004432
Mycoplasma pneumoniae	NC_000912
Mycoplasma pulmonis	NC_002771
Mycoplasma synoviae 53	NC_007294
Oceanobacillus iheyensis	NC_004193
Oenococcus oeni PSU-1	NC_008528
Onion yellows phytoplasma	NC_005303
Pediococcus pentosaceus ATCC 25745	NC_008525
Pelotomaculum thermopropionicum SI	NC_009454
Staphylococcus aureus COL	NC_002951
Staphylococcus epidermidis ATCC 12228	NC_004461
Staphylococcus haemolyticus	NC_007168
Staphylococcus saprophyticus	NC_007350
Streptococcus agalactiae 2603	NC_004368
Streptococcus mutans	NC_004350
Streptococcus pneumoniae R6	NC_003098
Streptococcus pyogenes M1 GAS	NC_002737
Streptococcus sanguinis SK36	NC_009009
Streptococcus suis 05ZYH33	NC_009442
Streptococcus thermophilus CNRZ1066	NC_006449
Syntrophomonas wolfei Goettingen	NC_008346
Thermoanaerobacter tengcongensis	NC_003869
Thermotoga maritima	NC_000853
Thermotoga petrophila RKU-1	NC_009486
Ureaplasma urealyticum	NC_011374
Symbiobacterium thermophilum IAM14863	NC_006177
Thermosipho melanesiensis BI429	NC_009616
Acidiphilium cryptum JF-5	NC_009484
Acidobacteria bacterium Ellin345	NC_008009
Acidothermus cellulolyticus 11B	NC_008578
Acidovorax avenae citrulli AAC00-1	NC_015138
Acidovorax JS42	NC_008782
Agrobacterium tumefaciens C58 Cereon	NC_003062
Alkalilimnicola ehrlichei MLHE-1	NC_008340
Anaeromyxobacter dehalogenans 2CP-C	NC_007760
Arthrobacter aurescens TC1	NC_008711
Arthrobacter FB24	NC_008541
Azoarcus BH72	NC_008702
Azoarcus sp EbN1	NC_006513
Bdellovibrio bacteriovorus	NC_005363
Bordetella bronchiseptica	NC_002927
Bordetella parapertussis	NC_002928
Bradyrhizobium japonicum	NC_004463
Brucella abortus 9-941	NC_006932
Brucella melitensis	NC_003317
Brucella suis 1330	NC_004310
Burkholderia 383	NC_007510
Burkholderia cenocepacia AU 1054	NC_008060
Burkholderia cepacia AMMD	NC_008390
Burkholderia mallei SAVP1	NC_008785
Burkholderia pseudomallei 668	NC_009074
Burkholderia thailandensis E264	NC_007651
Burkholderia vietnamiensis G4	NC_009256
Burkholderia xenovorans LB400	NC_007951
Caulobacter crescentus	NC_002696
Corynebacterium diphtheriae	NC_002935
Corynebacterium efficiens YS-314	NC_004369
Corynebacterium glutamicum ATCC 13032 Bielefeld	NC_003450
Corynebacterium jeikeium K411	NC_007164
Dechloromonas aromatica RCB	NC_007298
Erythrobacter litoralis HTCC2594	NC_007722
Frankia alni ACN14a	NC_008278
Gluconobacter oxydans 621H	NC_006677
Hahella chejuensis KCTC 2396	NC_007645
Halorhodospira halophila SL1	NC_008789
Herminiimonas arsenicoxydans	NC_009138
Hyphomonas neptunium ATCC 15444	NC_008358
Idiomarina loihiensis L2TR	NC_006512
Jannaschia CCS1	NC_007802
Magnetospirillum magneticum AMB-1	NC_007626
Maricaulis maris MCS10	NC_008347
Marinobacter aquaeolei VT8	NC_008740
Mesorhizobium BNC1	NC_008254
Mesorhizobium loti	NC_002678
Methylibium petroleiphilum PM1	NC_008825
Methylococcus capsulatus Bath	NC_002977
Mycobacterium avium 104	NC_008595
Mycobacterium avium paratuberculosis	NC_002944
Mycobacterium bovis	NC_002945
Mycobacterium gilvum PYR-GCK	NC_009338
Mycobacterium JLS	NA
Mycobacterium KMS	NC_008705
Mycobacterium MCS	NC_008146
Mycobacterium smegmatis MC2 155	NC_008596
Mycobacterium tuberculosis CDC1551	NC_002755
Mycobacterium ulcerans Agy99	NA
Mycobacterium vanbaalenii PYR-1	NC_008726
Myxococcus xanthus DK 1622	NC_008095
Nitrobacter hamburgensis X14	NC_007964
Nitrobacter winogradskyi Nb-255	NC_007406
Nitrosospira multiformis ATCC 25196	NC_007614
Nocardia farcinica IFM10152	NC_006361
Nocardioides JS614	NC_008699
Novosphingobium aromaticivorans DSM 12444	NC_007794
Paracoccus denitrificans PD1222	NC_008686
Pelobacter carbinolicus	NA
Pirellula sp	NC_013720
Polaromonas JS666	NC_007948
Propionibacterium acnes KPA171202	NC_006085
Pseudomonas aeruginosa	NC_002516
Pseudomonas entomophila L48	NA
Pseudomonas fluorescens Pf-5	NC_007492
Pseudomonas mendocina ymp	NC_009439
Pseudomonas putida F1	NC_009512
Pseudomonas stutzeri A1501	NC_009434
Pseudomonas syringae phaseolicola 1448A	NC_005773
Pseudomonas syringae pv B728a	NC_005773
Pseudomonas syringae tomato DC3000	NC_005773
Ralstonia eutropha H16	NC_008313
Ralstonia metallidurans CH34	NC_007973
Ralstonia solanacearum	NC_003295
Rhizobium etli CFN 42	NC_007761
Rhizobium leguminosarum bv viciae 3841	NC_008380
Rhodobacter sphaeroides ATCC 17029	NC_009049
Rhodococcus RHA1	NC_008268
Rhodoferax ferrireducens T118	NC_007908
Rhodopseudomonas palustris BisA53	NC_008435
Rhodopseudomonas palustris CGA009	NC_005296
Roseobacter denitrificans OCh 114	NC_008209
Rubrobacter xylanophilus DSM 9941	NC_008148
Saccharophagus degradans 2-40	NC_007912
Saccharopolyspora erythraea NRRL 2338	NC_009142
Salinispora tropica CNB-440	NC_009380
Shewanella amazonensis SB2B	NC_008700
Shewanella loihica PV-4	NC_009092
Silicibacter pomeroyi DSS-3	NC_003911
Silicibacter TM1040	NC_008044
Sinorhizobium medicae WSM419	NC_009636
Sinorhizobium meliloti	NC_003047
Solibacter usitatus Ellin6076	NC_008536
Sphingomonas wittichii RW1	NC_009511
Sphingopyxis alaskensis RB2256	NC_008048
Streptomyces avermitilis	NC_003155
Streptomyces coelicolor	NA
Syntrophobacter fumaroxidans MPOB	NC_008554
Thiobacillus denitrificans ATCC 25259	NC_007404
Vibrio parahaemolyticus	NC_004603
Vibrio vulnificus CMCP6	NC_004459
Xanthomonas campestris	NC_003902
Xanthomonas campestris vesicatoria 85-10	NC_003902
Xanthomonas citri	NA
Xanthomonas oryzae KACC10331	NC_006834
Acinetobacter baumannii ATCC 17978	NC_009085
Acinetobacter sp ADP1	NC_005966
Actinobacillus pleuropneumoniae L20	NC_009053
Aeromonas hydrophila ATCC 7966	NC_008570
Aeromonas salmonicida A449	NC_009348
Alcanivorax borkumensis SK2	NC_008260
Anabaena variabilis ATCC 29413	NA
Anaplasma marginale St Maries	NC_004842
Anaplasma phagocytophilum HZ	NC_007797
Campylobacter fetus 82-40	NC_008599
Aquifex aeolicus	NC_000918
Bacteroides fragilis NCTC 9434	NC_003228
Bacteroides thetaiotaomicron VPI-5482	NC_004663
Bacteroides vulgatus ATCC 8482	NC_009614
Bartonella bacilliformis KC583	NC_008783
Bartonella henselae Houston-1	NC_005956
Bartonella quintana Toulouse	NC_005955
Baumannia cicadellinicola Homalodisca coagulata	NC_007984
Bifidobacterium adolescentis ATCC 15703	NC_008618
Bifidobacterium longum	NC_004307
Bordetella pertussis	NC_002929
Borrelia afzelii PKo	NC_008277
Borrelia burgdorferi	NC_001318
Borrelia garinii PBi	NC_006156
Bradyrhizobium BTAi1	NC_009485
Bradyrhizobium ORS278	NC_009445
Buchnera aphidicola	NC_002528
Campylobacter jejuni	NC_002163
Candidatus Blochmannia floridanus	NC_005061
Candidatus Blochmannia pennsylvanicus BPEN	NC_005061
Candidatus Carsonella ruddii PV	NC_008512
Candidatus Pelagibacter ubique HTCC1062	NC_007205
Candidatus Ruthia magnifica Cm Calyptogena magnifica 	NC_008610
Candidatus Vesicomyosocius okutanii HA	NC_009465
Chlamydia muridarum	NC_002620
Chlamydia trachomatis	NC_000117
Chlamydophila abortus S26 3	NC_004552
Chlamydophila caviae	NC_003361
Chlamydophila felis Fe C-56	NC_007899
Chlamydophila pneumoniae AR39	NC_002179
Chlorobium chlorochromatii CaD3	NC_007514
Chlorobium phaeobacteroides DSM 266	NC_008639
Chlorobium tepidum TLS	NC_002932
Chromobacterium violaceum	NC_005085
Chromohalobacter salexigens DSM 3043	NC_007963
Clavibacter michiganensis NCPPB 382	NC_009480
Colwellia psychrerythraea 34H	NC_003910
Coxiella burnetii	NC_002971
Cyanobacteria bacterium Yellowstone A-Prime	NA
Cyanobacteria bacterium Yellowstone B-Prime	NA
Cytophaga hutchinsonii ATCC 33406	NC_008255
Dehalococcoides BAV1	NC_009455
Dehalococcoides CBDB1	NC_007356
Dehalococcoides ethenogenes 195	NC_002936
Deinococcus geothermalis DSM 11300	NC_008025
Deinococcus radiodurans	NC_001263
Desulfotalea psychrophila LSv54	NC_006138
Desulfovibrio desulfuricans G20	NC_011883
Desulfovibrio vulgaris DP4	NC_008751
Dichelobacter nodosus VCS1703A	NC_009446
Ehrlichia canis Jake	NC_007354
Ehrlichia chaffeensis Arkansas	NC_007799
Ehrlichia ruminantium Gardel	NC_005295
Enterobacter 638	NC_009436
Erwinia carotovora atroseptica SCRI1043	NC_004547
Escherichia coli CFT073	NC_004431
Gramella forsetii KT0803	NC_008571
Flavobacterium johnsoniae UW101	NC_009441
Flavobacterium psychrophilum JIP02 86	NC_009613
Francisella tularensis tularensis	NC_006570
Frankia CcI3	NC_007777
Geobacter metallireducens GS-15	NA
Geobacter sulfurreducens	NC_002939
Geobacter uraniumreducens Rf4	NC_009483
Gloeobacter violaceus	NC_005125
Granulobacter bethesdensis CGDNIH1	NC_008343
Haemophilus ducreyi 35000HP	NC_002940
Haemophilus influenzae	NC_000907
Haemophilus somnus 129PT	NC_008309
Helicobacter acinonychis Sheeba	NC_008229
Helicobacter hepaticus	NC_004917
Helicobacter pylori 26695	NC_000915
Lawsonia intracellularis PHE MN1-00	NC_008011
Legionella pneumophila Corby	NC_002942
Leifsonia xyli xyli CTCB0	NC_006087
Leptospira borgpetersenii serovar Hardjo-bovis JB197	NC_008508
Leptospira interrogans serovar Copenhagen	NC_004342
Magnetococcus MC-1	NC_008576
Mannheimia succiniciproducens MBEL55E	NC_006300
Methylobacillus flagellatus KT	NC_007947
Mycobacterium leprae	NC_002677
Neisseria gonorrhoeae FA 1090	NC_002946
