GC	overallATGCskew	AT1	GC1	AT2	GC2	AT4	GC4	aaAvgCost
10.0	45	-0.044283286	0.06847269	-0.3927094	-0.32928357	-0.09971283	0.015432099	32.55862
10.0	35	-0.26980302	0.06810171	-0.5402849	-0.31093255	-0.2980975	0.0058131674	35.063137
10.0	55	0.1813681	0.07328368	-0.1935721	-0.33245453	0.09779858	-0.0112324	30.369587
10.0	10	-0.7995498	0.042765453	-0.84395945	-0.15125042	-0.7975183	0.0020017794	42.145546
10.0	50	0.06826586	0.07448393	-0.29986462	-0.33403525	8.341675E-4	-0.010995632	31.443882
10.0	25	-0.4869587	0.062876076	-0.66342795	-0.26579893	-0.50214595	-0.0040317653	37.758915
10.0	15	-0.69697684	0.049077153	-0.78028667	-0.19423309	-0.7024422	-0.0028738936	40.632572
10.0	20	-0.5927521	0.055012807	-0.72182184	-0.22278385	-0.6013345	-0.013241901	39.1908
10.0	40	-0.15820435	0.071562834	-0.4695515	-0.32543853	-0.20481743	-0.012117087	33.801838
10.0	30	-0.37965146	0.06362074	-0.6034139	-0.28536773	-0.3991869	0.019799434	36.382133
10.1	20	-0.5935375	0.05552644	-0.719862	-0.22817849	-0.6017417	-0.010150507	39.114944
10.0	60	0.29335126	0.06973225	-0.07612095	-0.3102813	0.19969787	-0.011035378	29.449501
10.1	15	-0.6975431	0.04934414	-0.7797015	-0.19162877	-0.6991507	0.006737031	40.586052
10.0	65	0.40262195	0.0625953	0.056612264	-0.29034466	0.30024242	-1.7310023E-4	28.64793
10.0	85	0.79045844	0.04084379	0.6407643	-0.15079968	0.7041747	0.014404191	26.971088
10.0	70	0.508484	0.06398592	0.19915283	-0.26751605	0.40155777	-0.004786451	27.963467
10.0	80	0.70279855	0.04888394	0.4986984	-0.19383082	0.5959711	0.008341811	27.143839
10.0	90	0.8689335	0.033738088	0.7762711	-0.11452112	0.7951587	0.022377623	27.011265
10.1	10	-0.7986416	0.043593712	-0.84539074	-0.15070225	-0.7978289	0.007124849	42.09721
10.1	25	-0.48752233	0.060625102	-0.66342705	-0.26542848	-0.49685448	0.0065483986	37.738132
10.0	75	0.60900295	0.054412875	0.34715936	-0.22650068	0.5001286	-0.009228352	27.472025
