GC	overallATGCskew	AT1	GC1	AT2	GC2	AT4	GC4	aaAvgCost
10.0	35	0.065103605	-0.23954034	-0.30190864	-0.5674878	0.0030662185	-0.292344	31.518303
10.0	55	0.0690669	0.17549564	-0.2975151	-0.24997292	0.0016307554	0.08234159	31.417583
10.0	25	0.06459054	-0.45318565	-0.30566671	-0.7050594	-3.2669952E-4	-0.5170565	31.566769
10.0	45	0.066862784	-0.033256203	-0.3014125	-0.41683128	0.0027135743	-0.095128275	31.44312
10.0	10	0.061160166	-0.77822316	-0.30832022	-0.88977146	2.4517616E-5	-0.80577135	31.666464
10.0	30	0.06468702	-0.3433091	-0.30465445	-0.6424303	-0.0016323314	-0.38920927	31.546728
10.0	50	0.0680497	0.070676215	-0.2989245	-0.33271292	0.0025222576	0.015024038	31.45227
10.0	40	0.06619883	-0.13294232	-0.30164188	-0.5018515	-9.5979526E-4	-0.20027778	31.50199
10.0	15	0.06253157	-0.6682797	-0.30732417	-0.8312179	-6.979961E-4	-0.7226428	31.642729
10.0	20	0.063159056	-0.5612864	-0.30753615	-0.77037185	0.0012193683	-0.60215956	31.61125
10.0	60	0.069727056	0.2753364	-0.29696223	-0.1540339	0.0061797444	0.17670955	31.401165
10.0	65	0.07007849	0.3700461	-0.29405382	-0.04709945	0.0016065486	0.2927717	31.356184
10.0	90	0.07417018	0.8287757	-0.2889735	0.6262529	-0.0063468018	0.79985875	31.319391
10.0	75	0.071788594	0.5594457	-0.29487112	0.18419564	0.0071706264	0.4954677	31.334417
10.1	10	0.06195906	-0.77657187	-0.3099848	-0.89322394	4.7444677E-4	-0.8078046	31.650566
10.0	80	0.07238698	0.6530352	-0.29198053	0.3133703	0.0038102625	0.595003	31.335922
10.1	15	0.061937217	-0.66762567	-0.30589056	-0.83281916	-0.0049101887	-0.70331156	31.634752
10.1	25	0.0636713	-0.4521777	-0.30557	-0.7084355	-8.5239956E-4	-0.50510085	31.530859
10.0	85	0.07291983	0.7428854	-0.29034504	0.4556546	2.6867932E-4	0.7021563	31.333122
10.1	20	0.062591344	-0.55917233	-0.30483237	-0.7710369	0.003495865	-0.59407204	31.602793
10.0	70	0.07070271	0.46135536	-0.29436672	0.075067975	-0.0031545742	0.3987976	31.365992
10.1	30	0.06383244	-0.34587157	-0.30461875	-0.63592273	0.0023714306	-0.4057666	31.506144
10.1	50	0.06708159	0.07387115	-0.29637128	-0.3414159	6.126132E-4	0.007498897	31.40568
10.1	55	0.068561345	0.1743059	-0.29817605	-0.25410438	0.00383327	0.105060756	31.412472
10.1	40	0.06642746	-0.13283579	-0.301169	-0.5008008	-0.0014564432	-0.18599974	31.473295
10.1	45	0.066568345	-0.029248737	-0.29909468	-0.42027497	-9.525624E-5	-0.09688337	31.459711
10.1	60	0.06956403	0.272052	-0.2963712	-0.15205732	4.5481834E-4	0.21106492	31.371067
10.1	65	0.06941842	0.3711169	-0.29566923	-0.04820349	0.0	0.2994429	31.359325
10.1	70	0.07070659	0.46551818	-0.29452592	0.06133546	-0.0053413184	0.41130045	31.336184
10.1	80	0.0731401	0.65228856	-0.29102218	0.3125929	0.0014041127	0.5894652	31.310429
10.1	35	0.06628144	-0.23945586	-0.3046883	-0.56949025	5.8383932E-5	-0.29414797	31.509039
10.1	75	0.07223411	0.55899584	-0.2933839	0.18496954	0.0037163668	0.5027582	31.31369
10.1	85	0.07337506	0.741256	-0.29132152	0.46321654	-0.0018090161	0.71440715	31.285574
10.200001	20	0.06286574	-0.560411	-0.3062582	-0.76901555	-1.2903725E-5	-0.60253793	31.562243
10.200001	15	0.06238585	-0.6682745	-0.30743358	-0.83217365	6.597373E-4	-0.69758326	31.601152
10.1	90	0.0738394	0.82876337	-0.28812903	0.62371504	-0.006561173	0.80041295	31.283363
10.200001	35	0.065658815	-0.23800986	-0.30273995	-0.57347107	-0.004734533	-0.31559423	31.47155
10.200001	10	0.061047263	-0.77800894	-0.3076258	-0.88945794	0.0010556587	-0.8002301	31.661095
10.200001	55	0.06788945	0.17397043	-0.29689842	-0.25148505	0.002912056	0.11070448	31.391373
10.200001	40	0.0662364	-0.13287	-0.3013825	-0.49789867	-0.0047396207	-0.19598256	31.439266
10.200001	25	0.062778115	-0.45320734	-0.30331218	-0.7051265	7.8747515E-4	-0.490479	31.530062
10.200001	50	0.06672337	0.07148538	-0.29745644	-0.33216205	-0.0011147176	-0.01885138	31.409103
10.200001	45	0.0668566	-0.03085174	-0.30025837	-0.41653728	0.006213909	-0.10446516	31.407272
10.200001	30	0.065058656	-0.34692508	-0.30288926	-0.6406844	-3.0593798E-4	-0.38455892	31.501871
10.200001	65	0.06846708	0.36869362	-0.29223102	-0.045833614	0.004604104	0.29419592	31.32763
10.200001	60	0.06810909	0.2728013	-0.29496136	-0.14722143	-0.0072424603	0.20324686	31.360975
10.200001	70	0.07147595	0.466218	-0.2934946	0.06231247	-0.0030347803	0.39220506	31.319284
10.200001	85	0.07330826	0.74273133	-0.29199484	0.46211278	0.0069309543	0.6886302	31.275427
10.300001	35	0.06428544	-0.23996863	-0.29953423	-0.569667	-7.442606E-4	-0.29303023	31.463266
10.300001	10	0.06123202	-0.7790565	-0.30839345	-0.89166987	-0.0051776213	-0.7931468	31.609737
10.300001	30	0.06424478	-0.34211957	-0.30458054	-0.64706326	-5.4946565E-4	-0.39643115	31.465197
10.200001	75	0.073454276	0.5613454	-0.29307434	0.18483664	-0.006101178	0.48247576	31.284342
10.200001	80	0.073238716	0.6520193	-0.29162627	0.31676927	0.006403319	0.6067194	31.286922
10.300001	40	0.065862685	-0.13342915	-0.3004891	-0.494046	-0.005398849	-0.20498183	31.423586
10.300001	20	0.06361019	-0.55825645	-0.30773064	-0.77004015	-0.005595749	-0.6015013	31.539162
10.300001	15	0.06196795	-0.66688496	-0.3071374	-0.833411	-0.0043720044	-0.7033121	31.590347
10.200001	90	0.07355046	0.82852876	-0.28664556	0.62721384	-0.003056376	0.8156723	31.278547
