GC	overallBiases	overallSkews	AT1	GC1	AT2	GC2	AT4	GC4	aaAvgCost	aaAvgCost_Aer_Het	aaAvgCost_An_Het	aaAvgCost_Aer_Phot	aaAvgCost_An_Phot
10.0	10	-0.8	-0.7989342	-0.79226685	-0.8360365	-0.83668005	-0.80111927	-0.7934361	42.499912	50.422646	8.525544	51.76093	11.05516
10.0	15	-0.7	-0.696961	-0.6812005	-0.77148145	-0.7730184	-0.6988186	-0.7028165	40.9065	48.59675	8.49848	49.80632	10.71921
10.0	20	-0.6	-0.5946053	-0.57382965	-0.7125908	-0.7129224	-0.5996372	-0.60935694	39.399105	46.858624	8.485732	47.949093	10.429515
10.0	25	-0.5	-0.48852625	-0.46131182	-0.65723133	-0.6654117	-0.5001891	-0.50231266	37.943886	45.14221	8.502297	46.120575	10.193163
10.0	30	-0.4	-0.38062853	-0.35168177	-0.60167766	-0.6067689	-0.39378887	-0.40071967	36.53933	43.47427	8.552384	44.344242	10.011644
10.0	35	-0.3	-0.27111784	-0.23898068	-0.53938705	-0.5553756	-0.30237615	-0.3140189	35.167797	41.8199	8.598016	42.587593	9.8464
10.0	40	-0.2	-0.15958081	-0.13515034	-0.47222593	-0.48792934	-0.19664027	-0.2091071	33.870342	40.237392	8.675488	40.907257	9.728677
10.0	45	-0.1	-0.046510644	-0.030452464	-0.39128348	-0.41581592	-0.09845536	-0.08773389	32.604256	38.678654	8.7701435	39.251846	9.641858
10.0	50	0.0	0.06917022	0.06946642	-0.3000948	-0.33155385	-0.009486776	0.012077294	31.434778	37.181103	8.918506	37.66431	9.628487
10.0	55	0.1	0.18206932	0.17160147	-0.19255045	-0.23164757	0.10973017	0.093913615	30.357367	35.798378	9.053342	36.196175	9.618929
10.0	60	0.2	0.29530275	0.26843852	-0.07095868	-0.12736002	0.20488323	0.19687329	29.43641	34.566544	9.235383	34.886875	9.674618
10.0	65	0.3	0.40559793	0.36502886	0.06361799	0.001700424	0.29917628	0.27429983	28.641325	33.47076	9.419827	33.720005	9.749802
10.0	70	0.4	0.513061	0.45427692	0.2079073	0.15047976	0.4031022	0.39731827	27.998257	32.530884	9.642591	32.714916	9.876989
10.0	75	0.5	0.6133863	0.5469484	0.36037397	0.2961178	0.5001211	0.51642287	27.580374	31.851015	9.89114	31.978682	10.047617
10.0	80	0.6	0.7086198	0.63798547	0.5100842	0.4437272	0.6058336	0.5966278	27.36993	31.413408	10.1300535	31.496725	10.228262
10.0	85	0.7	0.7949168	0.7246862	0.65239966	0.60519224	0.6920422	0.71120864	27.34108	31.18021	10.374505	31.227144	10.427708
10.0	90	0.8	0.8734604	0.8156256	0.7832794	0.7484723	0.8035492	0.8007303	27.511747	31.19451	10.612027	31.215385	10.634625
10.1	10	-0.8	-0.79883206	-0.7912365	-0.83596575	-0.8369749	-0.80265784	-0.7951611	42.423065	50.335297	8.512862	51.66864	11.0330925
10.1	15	-0.7	-0.6971429	-0.6830318	-0.77098644	-0.7745311	-0.70268786	-0.69641894	40.888573	48.570396	8.493347	49.77912	10.712213
