genomicGC	genomicLen	NCBI_bioProjectAccession	habitat	disease	io.gc	io.at	z4s.gc.le	z4s.gc.la	z4s.at.le	z4s.at.la	zaa.1s.gc.le	zaa.1s.gc.la	zaa.1s.at.le	zaa.1s.at.la	habitatGold	habitatImg	hostassociated	GCgroups	SizeGenomic	intra
NC_005791	33.1	1661137	PRJNA58035	Aquatic	NA	0.00593315809237702	-0.0228979049259516	0.0566987712665147	-0.221089139008674	0.265901116206945	0.10121000769042	2.21432303057309	2.38132453561521	0.761117675094647	0.903534217532092	Environmental	NA	N	[16.6,37.5]	[1.39e+05,2.09e+06]	N
NC_015573	54.88	3601386	PRJNA67357	NA	NA	0.061336407985699	-0.00256339239939421	-0.152578013509232	0.040417798852829	-0.505548002538366	-0.233209627645127	1.76466959141145	1.55724688290845	0.870393859562403	0.663821801641391	Environmental	Environmental	N	(47.3,60.2]	(3.13e+06,4.58e+06]	N
NC_011900	39.49	2221315	PRJNA59287	Multiple	pneumonia, meningitis, and bacteremia	0.0941918244461323	0.015895745090489	-0.597459812930198	-0.633824532371765	-0.375033810187561	-0.364013802227148	1.46050538099054	1.71963011684107	1.117461227869	1.25196730536099	NA	Engineered	N	(37.5,47.3]	(2.09e+06,3.13e+06]	N
NC_016930	32.47	1287740	PRJNA89383	NA	NA	0.065707720963115	0.0119842982296514	-0.021418700395955	-0.0275956001276026	-0.386107486019324	-0.203700359444808	1.0192527984998	1.14217993569515	1.4343919240573	1.31175415949318	NA	NA	N	[16.6,37.5]	[1.39e+05,2.09e+06]	Y
NC_012225	27.06	3000694	PRJNA59291	HostAssociated	Swine dysentery	0.0678885994293512	-0.0094752848259271	-0.603993434472529	-0.505430588980647	-0.423228620871377	-0.246718034468396	2.59003027935061	2.82127221877066	1.68990406741046	1.55174036045567	Engineered	Host-associated	N	[16.6,37.5]	(2.09e+06,3.13e+06]	N
NC_015732	45.58	3239340	PRJNA68753	NA	NA	0.0324055778241969	-0.0187333356418159	-0.295811125688644	-0.302707569066845	-0.303075162427466	-0.138334030035545	1.16921109949573	1.20153331909916	0.859082344713282	0.679904006595424	Environmental	Environmental	N	(37.5,47.3]	(3.13e+06,4.58e+06]	N
NC_015672	38.29	2526590	PRJNA68147	NA	NA	0.0677342694579483	-0.00685772211264251	-0.0893707638568814	0.109275872252191	-0.385508047019698	-0.167209473972128	2.03346457930041	1.87252897596691	1.26687140013526	1.12398700116044	Environmental	Environmental	N	(37.5,47.3]	(2.09e+06,3.13e+06]	N
NC_012982	45.23	3455622	PRJNA59365	Aquatic	NA	0.0967036291495526	-0.0354702998957891	-0.0153065351160276	-0.42155505144574	-0.302293001307463	-0.189756125436131	0.885509226384113	1.38316489697958	0.93040248977966	0.714411074155435	Environmental	Environmental	N	(37.5,47.3]	(3.13e+06,4.58e+06]	N
NC_016620	36.75	3435933	PRJNA82341	NA	NA	0.0903443070312954	-0.0219535042152772	-0.478945653655284	-0.507657801244397	-0.227966300953239	-0.154455069710942	1.73221000070297	1.69756786798369	1.05889212895071	1.10731391715798	Environmental	Environmental	N	[16.6,37.5]	(3.13e+06,4.58e+06]	N
NC_007677	66.22	3551823	PRJNA58513	Specialized	None	0.0273430024047863	0.0106673282064004	-0.0368545048599662	-0.180371431860498	-0.127232986676987	-0.0982658096009951	0.933605939901123	0.920166987772472	0.484340086338946	0.449347936720036	Environmental	Environmental	N	(60.2,74.9]	(3.13e+06,4.58e+06]	N
