acc	quantile	meanTaiLe	costLe	GCLe	meanTaiLa	costLa	GCLa
NC_008463	1	0.31137323	22.698507	0.63466597	0.31882596	22.846565	0.63472354
NC_008463	2	0.34399968	22.704306	0.6724894	0.35267824	22.913452	0.67018557
NC_008463	3	0.35660163	22.737976	0.67706656	0.36561328	22.953876	0.6779604
NC_008463	4	0.36734435	22.71405	0.68067354	0.3765716	22.891214	0.6829821
NC_008463	5	0.38494584	22.61729	0.6757876	0.39423394	22.714392	0.68593746
NC_009879	1	0.43719292	25.072779	0.3058634	0.44598368	25.282349	0.3032213
NC_009879	2	0.46860397	24.46373	0.32260188	0.47782534	25.09807	0.3034753
NC_009879	3	0.48266768	24.14978	0.3248835	0.4934841	24.713251	0.3109972
NC_009879	4	0.4977322	24.076153	0.32556033	0.5082184	24.171959	0.31688613
NC_009879	5	0.5277491	23.258467	0.32974336	0.53496057	23.592443	0.33391693
NC_009485	1	0.52786374	22.737919	0.63252556	0.52537066	22.929144	0.62956357
NC_009485	2	0.54836994	22.531956	0.6574407	0.54756683	22.649656	0.6598085
NC_009485	3	0.5577559	22.606842	0.6613033	0.557494	22.42564	0.66728985
NC_009485	4	0.56679213	22.467033	0.66162765	0.5660922	22.465014	0.66694754
NC_009485	5	0.5814105	22.636395	0.6568721	0.58029646	22.656387	0.6619487
NC_012917	1	0.3280587	23.872288	0.48740047	0.33955938	23.858347	0.496414
NC_012917	2	0.363275	23.338373	0.53344154	0.37530693	23.446362	0.53616196
NC_012917	3	0.38178292	23.330645	0.54165804	0.3939725	23.164005	0.54699904
NC_012917	4	0.40295145	22.946724	0.54311687	0.41270953	23.06931	0.5469215
NC_012917	5	0.44166428	22.667345	0.5385173	0.4463071	22.938147	0.5420688
NC_012918	1	0.28467122	23.178572	0.56473607	0.2868716	23.446514	0.5557453
NC_012918	2	0.30151296	22.965984	0.617665	0.30317855	23.060276	0.61448467
NC_012918	3	0.3084676	23.022636	0.63158655	0.3106624	23.014687	0.6286298
NC_012918	4	0.3149362	22.751844	0.6364838	0.31707492	22.951315	0.6344248
NC_012918	5	0.32710025	22.885996	0.62974787	0.32927513	23.06706	0.6279263
NC_009486	1	0.63186216	24.840641	0.4398897	0.63122284	24.976562	0.42493537
NC_009486	2	0.66025496	24.534346	0.45620584	0.6634041	24.442331	0.45850688
NC_009486	3	0.6727679	24.203789	0.46545878	0.67760664	24.358784	0.46482524
NC_009486	4	0.6879227	24.257755	0.47562608	0.69098413	24.276072	0.47334096
NC_009486	5	0.7128729	24.301756	0.48388353	0.7137793	24.330545	0.4846781
NC_009483	1	0.45263943	23.711096	0.47365507	0.46624348	23.673382	0.4948727
