acc	quantile	meanTaiLe	ATle1	GCle1	ATle2	GCle2	ATle4	GCle4	meanTaiLa	ATla1	GCla1	ATla2	GCla2	ATla4	GCla4
NC_008463	1	0.31137323	0.061738826	0.16451755	-0.24200252	-0.26023617	-0.19388612	-0.016868193	0.31884092	0.10306208	0.12124875	-0.0008912656	-0.36109713	-0.019702682	-0.1384938
NC_008463	2	0.34399968	0.04816029	0.17866825	-0.20746581	-0.3487464	-0.28563187	-0.030874847	0.35267824	0.07253647	0.14077349	0.07852779	-0.43674082	-0.026331188	-0.16970842
NC_008463	3	0.35660163	0.048009373	0.19278662	-0.15958409	-0.39313638	-0.32488948	-0.066824645	0.36561328	0.050487913	0.16063796	0.12872975	-0.4717686	-0.06228979	-0.17357726
NC_008463	4	0.36734435	0.036910526	0.19787931	-0.13173653	-0.42844823	-0.36319613	-0.08264367	0.37656292	0.037950754	0.16654661	0.13328767	-0.49991405	-0.088293	-0.18171452
NC_008463	5	0.3850718	0.052670263	0.21970251	0.0014376078	-0.4575114	-0.43924484	-0.12808566	0.39439806	0.04093745	0.1897464	0.21437885	-0.52650934	-0.11905154	-0.20648977
NC_009879	1	0.43719292	0.14688593	0.19194075	-0.15769644	0.011607457	-0.15505026	0.17107812	0.44598368	0.15165877	0.15482393	-0.1471164	-0.25041094	-0.10490277	-0.015608741
NC_009879	2	0.46860397	0.16732638	0.19772153	-0.1373923	-0.016602317	-0.20366733	0.13920897	0.47782534	0.16083209	0.1441521	-0.127612	-0.25	-0.12523858	-0.0625
NC_009879	3	0.48266768	0.20265843	0.1971702	-0.09236219	0.008198215	-0.19269776	0.121384	0.4934841	0.17568545	0.15332532	-0.09272698	-0.28929818	-0.12464907	-0.11402073
NC_009879	4	0.4977322	0.20134087	0.19683464	-0.05953132	-0.06125898	-0.16819675	0.09829198	0.5082184	0.23626912	0.16703765	-0.049506377	-0.25840655	-0.12712194	-0.17961656
NC_009879	5	0.52826566	0.2491384	0.23615661	-0.029627047	-0.13690233	-0.12460932	-0.051329624	0.5359001	0.22970195	0.17724289	0.01291866	-0.30572596	-0.10017304	-0.18581341
NC_009485	1	0.52786374	0.036019564	0.1630881	-0.3770277	-0.3196461	-0.1929879	-0.06474606	0.52537066	0.07035718	0.13272826	-0.2733116	-0.3552527	-0.09594595	-0.15261556
NC_009485	2	0.54836994	0.0442066	0.15246755	-0.4753542	-0.30604222	-0.2228425	-0.05245454	0.54756683	0.06305521	0.13735808	-0.39398125	-0.35534975	-0.08489796	-0.12602195
NC_009485	3	0.5577559	0.054477412	0.1526384	-0.487017	-0.28503013	-0.23205522	-0.05833549	0.557494	0.06738145	0.12812653	-0.40278488	-0.33466944	-0.034108102	-0.11923215
NC_009485	4	0.56679213	0.057882477	0.15390784	-0.48099497	-0.25872722	-0.21742845	-0.03988241	0.5660922	0.076819114	0.13302341	-0.3991359	-0.3125852	-0.029213483	-0.10888197
NC_009485	5	0.5815376	0.031129874	0.14646338	-0.4768828	-0.26606712	-0.21405126	0.005189311	0.580395	0.037452064	0.1310379	-0.3986135	-0.31047717	0.021235522	-0.06919777
NC_012917	1	0.3280587	0.06544498	0.15610209	-0.2716952	-0.2452198	-0.16813521	0.23374319	0.33955938	0.09985634	0.10188545	-0.16801016	-0.36812294	-0.031872947	0.00040273863
NC_012917	2	0.363275	0.07680121	0.15369438	-0.28458396	-0.27821338	-0.20113336	0.24827944	0.37530693	0.088169105	0.099562645	-0.17574815	-0.4050534	-0.07116364	0.0033896563
NC_012917	3	0.38178292	0.072985224	0.16634992	-0.26468873	-0.31830227	-0.24837202	0.2490034	0.3939725	0.10001443	0.12004441	-0.16989942	-0.42501214	-0.09293681	0.0042356886
NC_012917	4	0.40295145	0.11654916	0.18671297	-0.21825935	-0.3429633	-0.30246913	0.21343109	0.41270953	0.11989999	0.14043312	-0.13313903	-0.4447951	-0.14400178	-0.015379912
NC_012917	5	0.4418369	0.1571185	0.2136875	-0.05085324	-0.39421257	-0.42668042	0.19344974	0.44650728	0.15470588	0.18192503	-0.017020518	-0.47965866	-0.26140237	-0.017519241
NC_012918	1	0.28467122	0.118541524	0.16418515	-0.09796948	-0.24778552	-0.16867979	-0.09364377	0.2868716	0.12341399	0.16495387	-0.008259645	-0.24691358	-0.0775501	-0.08131778
NC_012918	2	0.30151296	0.08787338	0.1831167	0.0066479538	-0.25772688	-0.20297338	-0.07774895	0.30317855	0.11105114	0.16186458	0.12643439	-0.26750785	-0.057485472	-0.10059894
NC_012918	3	0.3084676	0.072743975	0.18740128	0.077895805	-0.26014054	-0.20730372	-0.08546057	0.3106624	0.09833606	0.16874337	0.18348624	-0.27177882	-0.06740093	-0.1023166
NC_012918	4	0.3149362	0.085734956	0.19326597	0.14623414	-0.23272541	-0.22273637	-0.09831594	0.31707492	0.09319796	0.17454438	0.27133107	-0.27488837	-0.069767445	-0.13365564
NC_012918	5	0.32718027	0.09080903	0.20513798	0.25337502	-0.24236403	-0.22807612	-0.16103213	0.3294202	0.09341988	0.18850228	0.34682485	-0.28012037	-0.05147463	-0.16186087
NC_009486	1	0.63186216	0.04349166	0.23786418	0.11289185	-0.2004501	-0.18518518	0.036751904	0.63122284	0.056141295	0.22331446	0.1295959	-0.25041705	-0.13874322	0.0035930832
NC_009486	2	0.66025496	0.09468242	0.26048204	0.22613275	-0.16504517	-0.17720379	0.042568237	0.6634041	0.08819339	0.25935146	0.25753617	-0.24581045	-0.103533275	0.003694995
NC_009486	3	0.6727679	0.116113804	0.2608088	0.28113028	-0.15485926	-0.14858475	0.028644338	0.67760664	0.1191353	0.24752939	0.3260771	-0.21977727	-0.09447765	-0.0042779883
NC_009486	4	0.6879227	0.13185665	0.2640397	0.3428944	-0.14398807	-0.122608386	0.0397938	0.69098413	0.13642502	0.27503058	0.36048055	-0.19243512	-0.049490977	-0.011636796
NC_009486	5	0.7132192	0.14730205	0.28314328	0.3716561	-0.13564253	-0.07430801	0.0720336	0.7140857	0.15334764	0.26761174	0.43639043	-0.18542217	-0.013342696	0.015715899
NC_009483	1	0.45263943	0.13922872	0.19323975	-0.17042372	-0.14408207	-0.18312246	-0.09016705	0.46624348	0.14789644	0.17406249	-0.08679206	-0.24026729	-0.1094306	-0.1901302
NC_009483	2	0.48121646	0.13523892	0.20047021	-0.15820792	-0.19472612	-0.20044191	-0.093515046	0.49378952	0.13412145	0.16636506	-0.019997675	-0.29161975	-0.04452593	-0.16505487
NC_009483	3	0.49578255	0.1258062	0.19456685	-0.13094589	-0.24719018	-0.17441756	-0.093395144	0.50827324	0.12785885	0.17790943	0.022947876	-0.34001037	-0.027681662	-0.18152909
NC_009483	4	0.5084121	0.1051765	0.20141831	-0.10732752	-0.27895406	-0.1693308	-0.089596204	0.5215551	0.10928977	0.17227896	0.07782842	-0.3487495	0.01034749	-0.15650287
NC_009483	5	0.52802724	0.08256619	0.1953409	-0.08264101	-0.325496	-0.12436796	-0.07797107	0.5384939	0.08048019	0.18698387	0.12800471	-0.39488885	0.055490427	-0.14759482
NC_011852	1	0.25148708	0.115727216	0.15193428	-0.15459168	-0.14171337	-0.10080229	0.1232522	0.25096637	0.09341635	0.15104452	-0.16632648	-0.19282636	-0.11441755	0.08437956
NC_011852	2	0.27816442	0.14372413	0.14950423	-0.10052547	-0.15455513	-0.12156114	0.04560289	0.27772984	0.15160596	0.14092131	-0.10997724	-0.21725374	-0.12666756	0.030753354
NC_011852	3	0.29615366	0.16960895	0.1564146	-0.070210755	-0.16711427	-0.11237047	0.02242593	0.29382262	0.16720381	0.15589648	-0.08965282	-0.18532862	-0.118585095	0.03321509
NC_011852	4	0.31765595	0.17925133	0.18360716	-0.0057087424	-0.25618073	-0.14973079	0.011607992	0.3146381	0.16722848	0.16062036	-0.028876549	-0.2656758	-0.13229208	-0.017224982
NC_011852	5	0.36241555	0.1917043	0.19993705	0.12469792	-0.45554242	-0.16757613	0.024188926	0.35044318	0.17092001	0.20332429	0.08165313	-0.45663607	-0.12506019	-0.0036968577
NC_009484	1	0.46824467	0.026974404	0.13957718	-0.30389407	-0.376888	-0.16134629	-0.07109761	0.46227852	0.023421472	0.12677082	-0.27610603	-0.44667652	-0.0321165	-0.11038943
NC_009484	2	0.5175246	0.015993495	0.13515005	-0.3482783	-0.42649418	-0.22790138	-0.15132448	0.5166635	0.033965506	0.1188384	-0.2970541	-0.4780438	-0.044179298	-0.19815415
NC_009484	3	0.5338084	0.018435068	0.13525063	-0.3523211	-0.40733597	-0.26602626	-0.15323819	0.53506184	0.027432954	0.12930353	-0.28343746	-0.44506192	-0.03777949	-0.1876767
NC_009484	4	0.5473614	0.0024657242	0.15665263	-0.38192698	-0.39388156	-0.26108134	-0.06397776	0.54924685	0.0061629885	0.14083874	-0.32233387	-0.44990122	-0.014842301	-0.06384124
NC_009484	5	0.5692696	-0.00888748	0.17855965	-0.44452357	-0.41215488	-0.19430315	0.1133126	0.57126546	-0.0027491155	0.15699244	-0.40949154	-0.4152117	-0.00084245997	0.14626478
NC_009487	1	0.30357456	0.10525009	0.20451	-0.1465093	-0.14473188	0.03866926	0.23543495	0.29861206	0.03753615	0.13153397	-0.16302092	-0.39515457	-0.008999471	-0.14237145
NC_009487	2	0.3369455	0.17425773	0.21876942	-0.0942163	-0.12858848	0.015197401	0.25353783	0.33584967	0.14715508	0.12305854	-0.11952307	-0.34799436	-0.019438079	-0.110989615
NC_009487	3	0.35722393	0.22641471	0.21733348	-0.0580183	-0.11511551	0.019346936	0.2431694	0.35319263	0.17590028	0.15945345	-0.08685471	-0.38135418	-0.037536606	-0.14918567
NC_009487	4	0.3780162	0.25228593	0.22120628	-0.024666285	-0.20492858	0.0269015	0.21646406	0.37492505	0.22466488	0.17512098	-0.033190027	-0.42006412	-0.057692308	-0.16921927
NC_009487	5	0.42198762	0.31158105	0.20234108	0.06110288	-0.40798888	-0.0072692363	0.25050917	0.414755	0.293312	0.16036023	0.018622186	-0.5250286	-0.063282155	-0.13061018
NC_009488	1	0.4529902	0.18722844	0.21524192	-0.10814328	-0.00065487885	-0.03098044	0.2563544	0.4510147	0.18530184	0.1987217	-0.13125116	-0.12042175	0.039659128	0.12676056
NC_009488	2	0.4794171	0.2102047	0.20759772	-0.15048565	0.043296985	-0.090615384	0.1325527	0.4808587	0.17289184	0.18126102	-0.15527272	-0.121627405	-0.024820512	0.057217166
NC_009488	3	0.49349105	0.19919246	0.17782457	-0.15732625	-0.07256127	-0.09072375	0.02749491	0.49481475	0.17796363	0.17610498	-0.13762158	-0.14521158	-0.04910001	0.043835618
NC_009488	4	0.5058062	0.20374922	0.16986589	-0.13660121	-0.13056995	-0.062020566	0.018579235	0.507785	0.22462836	0.12759706	-0.10487028	-0.1509325	-0.05326772	-0.08293839
NC_009488	5	0.5305623	0.2216968	0.176242	-0.07239154	-0.15424222	-0.025162071	-0.08629441	0.53263396	0.22589666	0.17447667	-0.054115508	-0.21623036	-0.019673828	-0.16604617
NC_013714	1	0.3687159	0.06671006	0.20091727	-0.21700457	-0.30100363	-0.06255823	0.02477578	0.3626302	0.05643892	0.13341233	-0.14389081	-0.43954265	0.12043051	-0.127719
NC_013714	2	0.41468352	0.07808278	0.18725044	-0.23898277	-0.32802692	-0.116581514	-0.040426396	0.40811908	0.089116834	0.13208646	-0.20300089	-0.36608833	0.07491857	-0.0944618
NC_013714	3	0.43401965	0.10380903	0.18228443	-0.25494665	-0.28315213	-0.2017385	-0.08517227	0.42886844	0.11023851	0.14259905	-0.23121652	-0.35771066	0.024017874	-0.11505993
