acc	aaCostObserved	GC
NC_008463	22.934654	66.29231
NC_009879	24.356617	31.053947
NC_009485	22.795013	64.92014
NC_012917	23.246592	51.93175
NC_012918	23.030727	60.469963
NC_009486	24.415997	46.101173
NC_009483	23.299345	54.23823
NC_011852	23.659498	39.993107
NC_009484	22.351847	67.99273
NC_009487	23.95333	32.949394
NC_009488	24.331303	30.531048
NC_013714	22.831945	58.53674
NC_013715	22.124405	59.62228
NC_012912	23.222576	54.51725
NC_012913	23.760387	42.230965
NC_012914	23.784693	50.278137
NC_013716	23.353043	54.722248
NC_003028	23.792412	39.697258
NC_009882	24.238804	32.467422
NC_009881	24.263046	32.334736
NC_013720	22.780651	57.464695
NC_009883	24.232948	31.62821
NC_013722	22.613285	62.9766
NC_013721	22.96186	42.016354
NC_009480	21.69947	72.66422
NC_009482	22.462303	60.843502
NC_009481	22.496164	60.23604
NC_011094	23.435059	52.174133
NC_013729	22.2269	70.56791
NC_002528	24.9725	26.31247
NC_010794	24.373146	45.482777
NC_010793	24.287098	30.513786
NC_011831	23.119152	56.428493
NC_011832	23.058819	55.353676
NC_011833	24.962147	26.28566
NC_017717	24.996286	28.440582
NC_011834	24.965553	26.292461
NC_011835	22.736364	60.490356
NC_011837	24.258453	31.993643
NC_003030	24.229515	30.925783
NC_010382	23.969496	37.28935
NC_011830	23.657068	47.537342
NC_011080	23.437061	52.21673
NC_010380	23.768526	39.630898
NC_011083	23.454626	52.086555
NC_003047	22.695944	62.728935
NC_008497	23.423342	46.21887
NC_017728	23.73071	38.043648
NC_008095	22.502325	68.891235
NC_017729	24.218555	35.36629
NC_010397	22.34747	64.13101
NC_009494	24.02987	38.478527
NC_016148	23.612904	47.05764
NC_009495	24.352589	28.24468
NC_008086	24.2278	39.08245
NC_016147	22.496922	67.652725
NC_009497	24.032784	29.707056
NC_016146	25.61141	27.479256
NC_011071	22.495373	66.299904
NC_011072	23.896152	39.65397
NC_011898	23.899677	37.403984
NC_017739	24.216461	38.770588
