organism	NCBI_taxonomy_id	NCBI_bioProjectAccession	NCBI_bioProjectID	Group	SubGroup	A1le	T1le	G1le	C1le	A2le	T2le	G2le	C2le	A4le	T4le	G4le	C4le	A1la	T1la	G1la	C1la	A2la	T2la	G2la	C2la	A4la	T4la	G4la	C4la	genomicGC	ioAle	ioTle	ioGle	ioCle	genes	genomicLen	habitatNCBI	habitatGold	habitatImg
NC_005791	Methanococcus maripaludis S2	267377	PRJNA58035	58035	Euryarchaeota	Methanococci	161817	112794	121611	70083	56355	49991	11523	22517	39834	33002	9357	8686	172675	115194	122281	71760	63192	49750	9918	25157	39583	33167	8216	10412	33.1	26094	27317	13394	13236	1722	1661137	Aquatic	Environmental	NA
NC_015573	Desulfotomaculum kuznetsovii DSM 6115	760568	PRJNA67357	67357	Firmicutes	Clostridia	374349	320172	461307	278270	78585	81953	80615	146089	40334	66116	146924	142434	130971	108275	148634	97738	29854	26897	24119	51705	16396	20487	43837	50607	54.88	84631	85066	109540	96879	3399	3601386	NA	Environmental	Environmental
NC_011900	Streptococcus pneumoniae ATCC 700669	561276	PRJNA59287	59287	Firmicutes	Bacilli	304843	221284	255276	172071	77706	103612	46266	47942	60847	83435	26981	36576	74870	53927	56235	42501	19227	21726	8237	14686	13176	19806	4834	11434	39.49	84425	81783	59785	49492	1990	2221315	Multiple	NA	Engineered
NC_016930	Rickettsia philipii str. 364D	481009	PRJNA89383	89383	Proteobacteria	Alphaproteobacteria	132819	88639	89104	59731	42631	51054	11579	12679	22292	31278	8973	7526	94054	63396	57609	42121	29851	34498	6299	11218	15959	20322	5033	6302	32.47	77856	76012	39193	34360	1344	1287740	NA	NA	NA
NC_012225	Brachyspira hyodysenteriae WA1	565034	PRJNA59291	59291	Spirochaetes	Spirochaetia	363774	235308	224833	128998	118340	147695	27583	22889	56137	87314	5539	8130	279584	176062	162960	97232	95111	104370	13446	23903	47493	58785	3536	6976	27.06	87289	88959	34433	30055	2611	3000694	HostAssociated	Engineered	Host-associated
NC_015732	Spirochaeta caldaria DSM 7334	744872	PRJNA68753	68753	Spirochaetes	Spirochaetia	330065	267467	319453	227290	76012	108082	46301	68935	60390	86512	63054	76754	223329	173102	202603	152172	53578	64633	27417	52940	42968	46362	38111	56474	45.58	42507	44130	36574	34278	2795	3239340	NA	Environmental	Environmental
NC_015672	Flexistipes sinusarabici DSM 4947	717231	PRJNA68147	68147	Deferribacteres	Deferribacteres	293254	209432	227727	131270	80162	92977	40956	47196	42306	63021	36566	32634	188683	129783	132198	82211	53086	54796	21491	34739	29372	33916	19381	21286	38.29	81317	82440	54140	47271	2262	2526590	NA	Environmental	Environmental
NC_012982	Hirschia baltica ATCC 49814	582402	PRJNA59365	59365	Proteobacteria	Alphaproteobacteria	313452	252724	351874	236253	77560	113762	47629	55432	70842	107088	63945	48515	238559	181984	238808	187384	63632	67653	20268	53388	60992	65537	29364	58582	45.23	49980	53656	47127	38816	3120	3455622	Aquatic	Environmental	Environmental
NC_016620	Bacteriovorax marinus SJ	862908	PRJNA82341	82341	Proteobacteria	delta/epsilon subdivisions	414278	305968	323444	202147	123253	142517	62520	58627	82292	110860	26180	32114	280727	190090	191686	140527	80931	81680	33166	48291	57686	62579	12934	27279	36.75	28713	30002	18779	15667	3230	3435933	NA	Environmental	Environmental
NC_007677	Salinibacter ruber DSM 13855	309807	PRJNA58513	58513	Bacteroidetes/Chlorobi group	Bacteroidetes	252228	212399	359558	255490	15069	24131	64107	133226	19318	21172	147536	141043	197096	171510	278449	218116	11402	16940	46487	107599	15092	17246	102423	132921	66.22	65184	63808	123463	116891	2802	3551823	Specialized	Environmental	Environmental
NC_015687	Clostridium acetobutylicum DSM 1731	991791	PRJNA68293	68293	Firmicutes	Clostridia	647684	413160	444856	234261	199154	231517	70482	51276	135376	129591	25064	18449	168134	114747	103861	71825	50399	58104	10610	21767	32651	40755	3417	10367	30.93	102087	87099	50462	33636	3737	3942462	NA	NA	NA
NC_011138	Alteromonas macleodii str. 'Deep ecotype'	314275	PRJNA58251	58251	Proteobacteria	Gammaproteobacteria	416146	308372	400606	276507	102037	120586	54872	102041	80391	107558	72689	72027	326506	241736	300457	218507	81710	91981	39647	84171	62153	81565	50935	61335	44.89	100704	100964	83632	79769	4084	4448969	Aquatic	Environmental	Environmental
NC_010519	Haemophilus somnus 2336	228400	PRJNA57979	57979	Proteobacteria	Gammaproteobacteria	234339	166012	193018	134331	78128	93737	22312	28147	44084	59538	25644	23776	176093	121003	142364	98996	58174	67727	14421	21163	34921	43696	17126	18240	37.38	49783	51304	30941	30302	1980	2263857	HostAssociated	Host-associated	Host-associated
NC_005966	Acinetobacter sp. ADP1	62977	PRJNA61597	61597	Proteobacteria	Gammaproteobacteria	378851	286469	338878	253390	98243	151878	51856	53900	81830	100689	53449	49295	234749	178592	200813	161609	64189	89192	24183	37713	49463	61897	26829	37271	40.43	67302	67336	47664	42260	3307	3598621	Multiple	NA	Engineered
NC_014914	Taylorella equigenitalis MCE9	937774	PRJNA62103	62103	Proteobacteria	Betaproteobacteria	207182	154081	179170	122904	61675	75718	26454	27221	45235	69845	15504	16604	110878	80914	87755	63314	35067	39172	11643	16850	23845	32758	6665	9646	37.42	16622	16915	10475	9276	1556	1695860	NA	Host-associated	Host-associated
NC_009712	Methanoregula boonei 6A8	456442	PRJNA58815	58815	Euryarchaeota	Methanomicrobia	194827	161580	212421	157728	24941	36805	35631	62725	29391	34377	64237	71561	187930	154374	201899	150084	25710	33878	32922	61254	31565	28832	59466	68850	54.51	51702	53241	62291	61534	2452	2542943	Terrestrial	Environmental	NA
NC_011832	Methanosphaerula palustris E1-9c	521011	PRJNA59193	59193	Euryarchaeota	Methanomicrobia	232444	197246	257794	183878	26645	46088	49425	81143	31771	37100	88684	84009	195517	159345	208581	148210	25839	32822	39831	70740	31737	22495	66423	71269	55.35	72406	76573	92484	87736	2655	2922917	Specialized	Environmental	NA
NC_014550	Arthrobacter arilaitensis Re117	861360	PRJNA53509	53509	Actinobacteria	Actinobacteria	305356	259839	396024	282016	38563	47539	67127	129059	46297	55693	114929	148572	198450	171603	253494	193909	24791	33562	43811	84460	30317	34312	72301	103394	59.29	87380	87131	129395	125567	3376	3859257	NA	NA	Engineered
NC_014221	Truepera radiovictrix DSM 17093	649638	PRJNA49533	49533	Deinococcus-Thermus	Deinococci	183682	186740	309911	234006	15902	21618	52185	98541	9721	19851	124147	139743	188446	186231	308859	241759	18497	19622	49329	100461	10645	17460	110007	158178	68.14	39680	40166	86728	82547	2952	3260398	NA	Host-associated	Environmental
NC_010628	Nostoc punctiforme PCC 73102	63737	PRJNA57767	57767	Cyanobacteria	Nostocales	611369	463152	557508	417915	183290	218954	79764	124900	139696	164666	77407	98785	591820	450820	539995	402873	176952	212081	77036	120710	135624	158321	75587	95649	41.41	436914	436693	309369	309328	6120	8234322	Multiple	Host-associated	Host-associated
NC_014158	Tsukamurella paurometabola DSM 20162	521096	PRJNA48829	48829	Actinobacteria	Actinobacteria	314426	299300	523599	374545	14853	31468	77485	168655	26674	35649	198946	236497	221450	213720	364095	274941	11358	21429	49343	124174	23901	21582	144804	167160	68.41	28592	28428	60050	58343	4157	4379918	Terrestrial	Host-associated	Host-associated
NC_014657	Caldicellulosiruptor owensensis OL	632518	PRJNA60165	60165	Firmicutes	Clostridia	384291	270618	285408	166251	115514	116338	60575	50643	77650	83431	29010	20814	85873	62562	58091	38047	25449	25174	10421	13416	17737	17795	4916	5801	35.44	69598	62752	41982	31774	2148	2428903	Specialized	Environmental	Environmental
NC_009648	Klebsiella pneumoniae subsp. pneumoniae MGH 78578	272620	PRJNA57619	57619	Proteobacteria	Gammaproteobacteria	430341	360744	506101	350285	59141	91961	76771	173267	31162	62258	201220	162035	336252	283614	385785	282676	45581	65806	55403	142719	23101	41091	144873	149911	57.48	95929	97444	135493	127366	4776	5315120	Multiple	Host-associated	Host-associated
NC_011206	Acidithiobacillus ferrooxidans ATCC 53993	380394	PRJNA58613	58613	Proteobacteria	Gammaproteobacteria	218443	192981	291521	207657	29404	56641	47601	85793	25694	38530	99605	99424	177672	155399	229031	170848	25250	42300	33322	72856	21591	27703	69724	90725	58.85	39103	40751	57137	54265	2826	2885038	Specialized	NA	Engineered
NC_008023	Streptococcus pyogenes MGAS2096	370553	PRJNA58573	58573	Firmicutes	Bacilli	275435	194863	224988	155421	78493	95443	34642	40906	52278	75954	24447	30884	63832	45626	45812	37280	17829	20579	5724	11432	10475	17793	3873	9090	38.73	39553	37728	26463	22652	1898	1860355	HostAssociated	Host-associated	Host-associated
NC_003910	Colwellia psychrerythraea 34H	167879	PRJNA57855	57855	Proteobacteria	Gammaproteobacteria	550763	400674	470719	320832	169444	218316	52883	80569	102041	157476	53250	61598	379942	268569	303795	221589	116437	141893	32161	61923	68705	100860	29759	49343	38.01	155758	157648	100028	92661	4911	5373180	Specialized	Environmental	Environmental
