acc	rcfl	cat	le4s	la4s	io
NC_007794	Y	AT	-0.222610388866617	-0.00873848109310454	-0.0179847994581985
NC_007794	Y	GC	-0.0841161400512383	-0.153227719640457	0.0393168475360256
NC_007794	N	AT	-0.321911716519215	-0.141649332349191	-0.0220516294122074
NC_007794	N	GC	-0.0899484487055109	-0.136735736446665	0.0160785913386362
NC_007794	A	AT	-0.293103161812352	-0.102184271359155	-0.0210348071495767
NC_007794	A	GC	-0.0880896837739761	-0.142029206220282	0.0225036891293655
NC_007492	Y	AT	-0.402346401215216	-0.269648355209853	-0.0276266666666667
NC_007492	Y	GC	-0.0254174199723492	-0.130212408941666	0.0564475278053078
NC_007492	N	AT	-0.370556517576833	-0.227626795914835	-0.0526454168602053
NC_007492	N	GC	0.0530311614730878	-0.0151719511585918	0.0386943763315512
NC_007492	A	AT	-0.380202408504295	-0.240206660683533	-0.046456864310073
NC_007492	A	GC	0.0289114867736978	-0.0504511235413012	0.0434418988161847
NC_010520	Y	AT	0.186323807966423	-0.0951048951048951	0.0406473407180454
NC_010520	Y	GC	0.294217894096166	-0.159976730657359	0.177669787839279
NC_010520	N	AT	0.00393900960447874	-0.171044133476857	0.0374994555828167
NC_010520	N	GC	-0.0982081794556148	-0.466365178066704	0.158947253041688
NC_010520	A	AT	0.0569737123655701	-0.149941702293043	0.0384941933497843
NC_010520	A	GC	-0.0121466136309031	-0.406480955088118	0.164400942541236
NC_009481	Y	AT	-0.30354986718184	-0.0232018561484919	-0.0701508788303002
NC_009481	Y	GC	-0.0311689536473806	-0.12387627609325	0.0635374928448769
NC_009481	N	AT	-0.414721459395841	-0.140413399857448	-0.100149322897894
NC_009481	N	GC	-0.0189486130955314	-0.129269913955464	0.0546680345888905
NC_009481	A	AT	-0.377286994421766	-0.10014383003795	-0.0926885880077369
NC_009481	A	GC	-0.0225505389196589	-0.127663574424499	0.05692537422151
NC_008818	Y	AT	0.0212569848493577	0.0147090869470473	0.00863632438034373
NC_008818	Y	GC	-0.0954213158907272	-0.135835190651166	0.00717765629067648
NC_008818	N	AT	0.0666700712407119	0.0598635390208676	0.0063832739719691
NC_008818	N	GC	-0.187108741015534	-0.194150632215503	0.00116749600444329
NC_008818	A	AT	0.0527228335869219	0.0456984653245377	0.00685918601893573
NC_008818	A	GC	-0.162761392275731	-0.178555319286036	0.00257140871499062
NC_005823	Y	AT	-0.067399909672963	0.13221007893139	-0.0184253633374769
NC_005823	Y	GC	0.1047770384348	-0.13213227795853	0.0764275919332721
NC_005823	N	AT	-0.230672401132907	-0.133040966948337	-0.0277934743935874
NC_005823	N	GC	0.162605246972493	-0.172236503856041	0.0670308973303777
NC_005823	A	AT	-0.194754037042016	-0.0747150414712705	-0.0253121711356321
NC_005823	A	GC	0.140024302593138	-0.157065177456095	0.0697221921954383
NC_002973	Y	AT	0.109591669428407	-0.0584568499792215	0.0203504189792143
NC_002973	Y	GC	0.20502841130225	-0.120199035919764	0.120953502060035
NC_002973	N	AT	-0.0256676557863501	-0.137609018761042	0.0126458042354007
NC_002973	N	GC	0.130775466090246	-0.101597009853891	0.113698077698615
NC_002973	A	AT	0.0146931000202987	-0.114797293251093	0.0146300448430493
NC_002973	A	GC	0.151442932663142	-0.106563161609033	0.115639829090121
NC_011527	Y	AT	-0.137877480586713	-0.158701854493581	0.00709195441870073
NC_011527	Y	GC	0.0314008459815875	-0.115942028985507	0.0329428793524004
NC_011527	N	AT	-0.221243930449499	-0.222823294750521	-0.00536567077030873
NC_011527	N	GC	0.0248469571480014	-0.13756812629205	0.0353793729714178
NC_011527	A	AT	-0.199618013071115	-0.206590678253019	-0.00208790959940216
NC_011527	A	GC	0.0268037560917627	-0.131225926417851	0.0347673870598532
NC_010609	Y	AT	-0.122034654569793	-0.210511496949789	0.0257054255619057
NC_010609	Y	GC	0.119777931991672	-0.228718428437792	0.0982466171145416
NC_010609	N	AT	-0.121140812232283	-0.135156686069691	0.0131942924237298
NC_010609	N	GC	0.0610924348507444	-0.255476884631404	0.0733998166407843
NC_010609	A	AT	-0.12141283683877	-0.157623751294177	0.0166933061920769
NC_010609	A	GC	0.076760602523484	-0.248449112462379	0.0804057231141264
NC_017033	Y	AT	-0.30388575224178	-0.132303467215929	-0.0556724338242221
NC_017033	Y	GC	0.0400287993682719	-0.203839608593916	0.085320197044335
NC_017033	N	AT	-0.302514322087842	-0.135725644748669	-0.0630468874292598
NC_017033	N	GC	0.0574377977766014	-0.10238388246787	0.0668187898339759
NC_017033	A	AT	-0.302958579881657	-0.134579568186521	-0.0610872376820059
NC_017033	A	GC	0.0518326310397559	-0.135155330716574	0.0724653527594784
NC_008711	Y	AT	-0.101723237597911	0.00817761332099907	-0.030957204355533
NC_008711	Y	GC	-0.174649834212575	-0.211378566121404	0.017989417989418
NC_008711	N	AT	-0.234077750206782	-0.127849736410292	-0.03305367222893
NC_008711	N	GC	-0.142086307493798	-0.193720076232975	0.0270352084759811
NC_008711	A	AT	-0.191152810473013	-0.0842476070738101	-0.0325382310595743
NC_008711	A	GC	-0.152891314444961	-0.199548453648378	0.0245376046748233
NC_003103	Y	AT	-0.069690558053425	0.0145891439605235	-0.000737672359984112
NC_003103	Y	GC	0.086446434084594	-0.0927101854203708	0.0531245818279138
NC_003103	N	AT	-0.210193204530313	-0.157632304612246	0.00266874362880411
NC_003103	N	GC	0.0880397198333186	-0.128497690844879	0.0372142346297073
NC_003103	A	AT	-0.173012318029115	-0.112781114680821	0.00168906513916428
NC_003103	A	GC	0.0874584670834037	-0.116027967076732	0.0414992341652401
NC_013642	Y	AT	-0.00573669305061361	0.0497616458978005	-0.010984230560087
NC_013642	Y	GC	0.122113973041505	0.0936915013103706	0.0172527327801923
NC_013642	N	AT	-0.165919830536093	-0.13649179570141	-0.00241122314774222
NC_013642	N	GC	-0.00715602039106814	-0.0319094967532468	0.0253992766286016
NC_013642	A	AT	-0.130831755929184	-0.0961667300414652	-0.00413648202052921
NC_013642	A	GC	0.0380629298808005	0.012238452427951	0.0234782608695652
NC_010336	Y	AT	-0.0915763518550376	-0.0741685470420877	-0.00824439189621014
NC_010336	Y	GC	0.221725451233648	-0.16547619047619	0.096046896137081
NC_010336	N	AT	-0.180994752452658	-0.126882779788181	-0.011438508829941
NC_010336	N	GC	0.083060247038064	-0.327442936783423	0.0846054333764554
NC_010336	A	AT	-0.155543586479296	-0.112195388631487	-0.0105535290576194
NC_010336	A	GC	0.121285433879582	-0.285148053159245	0.0880477547144214
NC_008146	Y	AT	-0.0895748291519516	-0.0188362159512639	0.000284948994130051
NC_008146	Y	GC	-0.147158597974991	-0.169111170960017	0.0172962414542705
NC_008146	N	AT	-0.100682463001304	-0.0203815517192505	-0.0181282175386105
NC_008146	N	GC	0.0279393907396653	0.0108984886789319	0.0178321986333262
NC_008146	A	AT	-0.0974083037030027	-0.0199362363291497	-0.012999793654069
NC_008146	A	GC	-0.0310565311834318	-0.0496647385254373	0.0176792201719363
NC_009076	Y	AT	-0.209639225518874	0.0153503893214683	-0.0225557906503254
NC_009076	Y	GC	0.105419000992614	-0.0617486207145783	0.081966690572954
NC_009076	N	AT	-0.128947932290551	0.08496646917117	-0.0226568148120918
NC_009076	N	GC	0.0928701655807281	0.0602337428828289	0.0406937684239391
NC_009076	A	AT	-0.147932096742479	0.0692051979449985	-0.0226330889384763
NC_009076	A	GC	0.0967294627750671	0.0231715485153153	0.0531073987968267
NC_008228	Y	AT	-0.128717940512952	-0.0899468495888793	-0.0152867104461445
NC_008228	Y	GC	-0.000924081565599524	-0.16821035443822	0.0324084868267661
NC_008228	N	AT	-0.171088355388332	-0.133069177791172	-0.0236169365347075
NC_008228	N	GC	-0.0300134527067774	-0.189750350168905	0.0374585751345839
NC_008228	A	AT	-0.158032263153743	-0.119996694874991	-0.0213977044000202
NC_008228	A	GC	-0.0220569650469841	-0.183980937587187	0.0361389730439262
NC_013454	Y	AT	-0.0268516849882862	-0.0291380625476735	-0.0726256983240224
NC_013454	Y	GC	0.0256012412723041	0.0135467980295567	0.113149847094801
NC_013454	N	AT	-0.108086296874159	-0.105286738351254	-0.0159059474412171
NC_013454	N	GC	-0.0922347794385709	-0.0822536908707442	0.0153452685421995
NC_013454	A	AT	-0.0894100099436526	-0.088	-0.0312657589510842
NC_013454	A	GC	-0.0545634920634921	-0.0507788792231438	0.0441839495040577
NC_008255	Y	AT	0.0872985351186938	0.00377122817131465	0.0114160263446762
NC_008255	Y	GC	0.202112734175126	0.0993989481592787	0.0479951111737884
NC_008255	N	AT	0.0111953622214287	-0.0253914156867545	-0.0099560685227066
NC_008255	N	GC	0.103905044510386	-0.0254119484576337	0.0487135863338079
NC_008255	A	AT	0.0329595616723241	-0.0171798062875386	-0.00390787601657586
NC_008255	A	GC	0.133506355668693	0.0112416570136246	0.0485198098256735
NC_012969	Y	AT	-0.267960313981751	-0.120772946859903	-0.0122464126669965
NC_012969	Y	GC	-0.0525265385475629	-0.177530134182397	0.0624281366249577
NC_012969	N	AT	-0.236535790441536	-0.0708058685945141	-0.0390485799540605
NC_012969	N	GC	-0.0254744777621843	-0.114095243560682	0.0371624182098376
NC_012969	A	AT	-0.246883774634582	-0.0868183131734302	-0.0321429140571465
NC_012969	A	GC	-0.0335701781484914	-0.132875042922645	0.0440332548557975
NC_006270	Y	AT	-0.00435047420168798	0.0569184793939815	0.0107808037330544
NC_006270	Y	GC	0.0620624243407505	-0.0425515483821144	0.0703072767630305
NC_006270	N	AT	-0.0409930011949179	-0.0071971311783735	0.00739960400060923
NC_006270	N	GC	0.0845983076477591	-0.0350102507490932	0.0656318885040074
NC_006270	A	AT	-0.0310249536963069	0.00980356024029779	0.00821056084594827
NC_006270	A	GC	0.0769315682661527	-0.037559053062929	0.0669189316528755
NC_010545	Y	AT	-0.207424535966502	-0.114239416649787	-0.031394422310757
NC_010545	Y	GC	-0.140714534101389	-0.173603818615752	0.0561106065193259
NC_010545	N	AT	-0.296375	-0.156966490299824	-0.0447099825740602
NC_010545	N	GC	-0.11551826059374	-0.156831879104075	0.0843052315894702
NC_010545	A	AT	-0.266723609924793	-0.142770618123086	-0.0415402124430956
NC_010545	A	GC	-0.123653315759928	-0.162203063377052	0.0770332001509689
NC_006360	Y	AT	0.0246768507638073	0.0250309789343247	-0.00464427542572525
NC_006360	Y	GC	-0.18887881535207	-0.1584	0.00690035881865857
NC_006360	N	AT	-0.0621501363571121	-0.0506686072955517	-0.00469834157876723
NC_006360	N	GC	-0.226501229076437	-0.187895630693222	0.0122397476340694
NC_006360	A	AT	-0.0388655462184874	-0.0303433590630822	-0.00468124946803983
NC_006360	A	GC	-0.21599730003375	-0.179681408042776	0.0105645999307239
NC_009727	Y	AT	-0.130223370308464	-0.151914861725249	-0.0237931921461031
NC_009727	Y	GC	0.0322196796338673	-0.130528441602154	0.0305403288958496
NC_009727	N	AT	-0.216184929921106	-0.223776401946546	0.011518229639035
NC_009727	N	GC	0.0171065207638442	-0.154892521271832	0.0248899369368395
NC_009727	A	AT	-0.193822963607136	-0.205544569516276	0.00231331440960193
NC_009727	A	GC	0.021622878400372	-0.147737382124429	0.0262967626629839
NC_010612	Y	AT	-0.178914668478788	0.0489658083579569	-0.0623441396508728
NC_010612	Y	GC	-0.065480942193271	-0.189485269325462	0.036691359345332
NC_010612	N	AT	-0.157269964321896	0.0755537212821571	-0.0500933668912885
NC_010612	N	GC	0.0599406860276425	-0.0781536388585242	0.0453348371634005
NC_010612	A	AT	-0.162765476728423	0.0690184685619423	-0.053323768531803
NC_010612	A	GC	0.0167240639475393	-0.116198178221266	0.0427708430016937
NC_016513	Y	AT	-0.134166948293342	-0.110936270653029	-0.00918175235336713
NC_016513	Y	GC	0.0812194376528117	-0.0409070516742118	0.0426282194348971
NC_016513	N	AT	-0.284367146873678	-0.217251639063693	-0.0172120524866353
NC_016513	N	GC	-0.0135628865244435	-0.113498123463181	0.0408746216887136
NC_016513	A	AT	-0.250197013089357	-0.192642357035898	-0.0151320774534297
NC_016513	A	GC	0.0165886856656742	-0.0908558925300224	0.0413583363089008
NC_015635	Y	AT	-0.161211178265813	-0.0305494505494505	-0.0337102473498233
